nm,lineA1,lineA2,LineB1,LineB2,LineC1,LineC2
539.5,0.01103,0.01224,0.01503,0.01399,0.01859,0.01704
540,0.01149,0.01262,0.01512,0.01414,0.0183,0.01727
540.5,0.0128,0.01288,0.01509,0.01424,0.01802,0.01727
541,0.01233,0.01399,0.0146,0.01479,0.01855,0.01715
541.5,0.01138,0.0128,0.01509,0.01503,0.01833,0.01694
542,0.01161,0.01338,0.01485,0.01385,0.01833,0.01619
542.5,0.01318,0.01234,0.01541,0.0144,0.01939,0.01712
543,0.01228,0.01379,0.01538,0.0148,0.01895,0.01721
543.5,0.01306,0.01344,0.0153,0.01497,0.01868,0.01756
544,0.01266,0.01462,0.01572,0.01398,0.01891,0.01778
544.5,0.01334,0.01396,0.01395,0.01367,0.01868,0.01706
545,0.01218,0.01334,0.0141,0.01466,0.02003,0.01695
545.5,0.01266,0.01329,0.01585,0.01517,0.01892,0.01675
546,0.01189,0.01286,0.01436,0.01413,0.01875,0.01773
546.5,0.01164,0.01277,0.01399,0.01471,0.01759,0.01675
547,0.01233,0.01262,0.01482,0.0135,0.01796,0.01756
547.5,0.01189,0.01189,0.01439,0.01378,0.01765,0.01631
548,0.01089,0.01215,0.01498,0.01299,0.01793,0.0154
548.5,0.01175,0.01227,0.01422,0.01315,0.01694,0.01642
549,0.01189,0.01245,0.01489,0.01419,0.01755,0.01671
549.5,0.01196,0.0136,0.01535,0.01308,0.01768,0.01599
550,0.01219,0.01295,0.01479,0.01488,0.01929,0.01804
550.5,0.013,0.01352,0.01605,0.01602,0.01967,0.01784
551,0.01202,0.01291,0.0153,0.01462,0.01935,0.01758
551.5,0.01292,0.0137,0.01515,0.01424,0.01898,0.01793
552,0.01134,0.01309,0.0136,0.01414,0.01938,0.01724
552.5,0.01248,0.01233,0.01477,0.01532,0.01868,0.0181
553,0.01234,0.01335,0.01607,0.01399,0.01917,0.01646
553.5,0.01126,0.01292,0.01477,0.01392,0.0188,0.01822
554,0.01254,0.01279,0.01581,0.01488,0.01973,0.01711
554.5,0.01306,0.01385,0.01563,0.01584,0.01875,0.01849
555,0.0126,0.01416,0.01559,0.01509,0.01912,0.01891
555.5,0.0144,0.01466,0.01622,0.01534,0.02003,0.01859
556,0.01389,0.01488,0.01572,0.01535,0.02122,0.0197
556.5,0.01395,0.01398,0.01552,0.0159,0.02098,0.01923
