nm;bby70;bby72;bby74;bby76;bby78;bby80;bby82;bby84;bby86;bby88;bby90;LHCII;PSII core;PSI maize;C2S2M2;GoodFig2A;OffSetFig2B;ScatFig2C;DegrFig2D;a/b_9_F5;
446.8;1.350685;1.35283;1.355405;1.35089;1.351215;1.34711;1.349555;1.342155;1.343105;1.345035;1.347545;1.627386411;0.619697619;0.718929021;1.154982451;1.072516667;1.092516667;1.143064494;1.064105227;0.318453412;
447.2;1.3441;1.346205;1.349725;1.34572;1.346665;1.34303;1.345755;1.338655;1.34121;1.34365;1.346995;1.626449878;0.606476097;0.705307769;1.149183262;1.066486667;1.086486667;1.136868194;1.057007744;0.305200464;
447.6;1.338265;1.34095;1.3452;1.341575;1.342485;1.3401;1.343135;1.33721;1.33996;1.342985;1.3469;1.627250676;0.594937871;0.692912781;1.144551697;1.061466667;1.081466667;1.131682191;1.051060848;0.293362253;
448;1.33423;1.33661;1.341175;1.33842;1.339845;1.337975;1.341665;1.336315;1.339885;1.34363;1.34858;1.628799478;0.583736304;0.68143733;1.141141415;1.057713333;1.077713333;1.12776315;1.046250247;0.282737568;
448.4;1.330555;1.33407;1.338545;1.33675;1.3386;1.33689;1.34187;1.336695;1.340895;1.345335;1.35086;1.631772205;0.57357532;0.671015879;1.13868112;1.05482;1.07482;1.124704406;1.041663268;0.272987279;
448.8;1.32886;1.331645;1.3374;1.33552;1.338335;1.33719;1.342665;1.33831;1.343135;1.34789;1.354275;1.635918504;0.564301891;0.661406539;1.137268365;1.052723333;1.072723333;1.122442623;1.03813164;0.264817961;
449.2;1.327135;1.331215;1.33665;1.33604;1.33887;1.338295;1.344485;1.340465;1.34615;1.35216;1.35855;1.641643598;0.555762992;0.652703634;1.136477475;1.051463333;1.071463333;1.1210178;1.03558915;0.257127046;
449.6;1.326985;1.33099;1.33725;1.33658;1.340585;1.34014;1.346745;1.3438;1.349185;1.35586;1.36295;1.647848893;0.548081043;0.644714488;1.137029714;1.050923333;1.070923333;1.120313271;1.032892007;0.250437367;
450;1.327795;1.33185;1.338705;1.33863;1.342435;1.34327;1.35001;1.347315;1.353885;1.3604;1.368655;1.65519578;0.541592704;0.637613302;1.138150897;1.051186667;1.071186667;1.120412368;1.031396503;0.244510378;
450.4;1.329195;1.33289;1.340695;1.341415;1.345745;1.34654;1.35405;1.351485;1.358515;1.365865;1.37419;1.662869378;0.535226786;0.631017777;1.139747068;1.052213333;1.072213333;1.12127509;1.029904559;0.239976828;
450.8;1.331005;1.335575;1.343245;1.34457;1.349415;1.35022;1.358535;1.35614;1.363305;1.37183;1.380465;1.671778683;0.529626002;0.624982513;1.142396907;1.053496667;1.073496667;1.12239477;1.029010579;0.235466299;
451.2;1.333735;1.3384;1.34672;1.347705;1.353305;1.35525;1.363675;1.361945;1.36928;1.377625;1.386995;1.680703289;0.525188223;0.619386435;1.145033405;1.05543;1.07543;1.124164739;1.028159544;0.231871121;
451.6;1.336775;1.341915;1.350625;1.352195;1.35778;1.35968;1.36838;1.36761;1.375;1.383675;1.39332;1.690077952;0.520199547;0.614364302;1.148450986;1.05745;1.07745;1.126021665;1.028308581;0.228780733;
452;1.34067;1.34589;1.354615;1.35713;1.36253;1.3651;1.37395;1.372735;1.380845;1.39054;1.400055;1.699685676;0.515853584;0.609764658;1.151522788;1.059716667;1.079716667;1.128125546;1.028211299;0.226828614;
452.4;1.34473;1.3499;1.358925;1.36147;1.367165;1.37052;1.379245;1.37813;1.386955;1.39665;1.40624;1.710134901;0.511783069;0.605474973;1.15546405;1.062493333;1.082493333;1.130739714;1.028155911;0.22487674;
452.8;1.349645;1.354785;1.363715;1.36676;1.372755;1.375135;1.385565;1.38419;1.393235;1.40294;1.41298;1.72008694;0.508232846;0.601445432;1.159462938;1.06547;1.08547;1.133554171;1.027885828;0.223142201;
453.2;1.35381;1.35922;1.36911;1.372015;1.37778;1.380695;1.39074;1.38971;1.39883;1.40771;1.418975;1.729834682;0.504774438;0.59770137;1.163297618;1.068333333;1.088333333;1.136255579;1.028455264;0.222237765;
453.6;1.358315;1.36437;1.37363;1.37715;1.382745;1.386245;1.39602;1.3952;1.40388;1.41338;1.42371;1.739512187;0.501713901;0.594404041;1.166864294;1.07116;1.09116;1.138920608;1.028475317;0.221339342;
454;1.36303;1.36898;1.37865;1.381785;1.387945;1.39128;1.401225;1.400025;1.40946;1.41859;1.42844;1.748879195;0.499051233;0.591246894;1.171061082;1.074013333;1.094013333;1.141612587;1.028799935;0.220211141;
454.4;1.368365;1.373735;1.383565;1.38672;1.39281;1.3959;1.405545;1.40457;1.41336;1.422755;1.432745;1.757933719;0.496082512;0.588212697;1.174729716;1.076433333;1.096433333;1.143871517;1.028746812;0.219781411;
454.8;1.37317;1.378085;1.388065;1.39134;1.397345;1.400125;1.41011;1.409235;1.4182;1.42658;1.436285;1.766264574;0.493297423;0.585138317;1.177751;1.07914;1.09914;1.146417397;1.028207946;0.21950281;
455.2;1.377145;1.38261;1.392425;1.395575;1.40165;1.40461;1.41397;1.41257;1.420365;1.429705;1.43909;1.774219742;0.490359307;0.582287193;1.180667021;1.08104;1.10104;1.148156893;1.027990693;0.219215348;
455.6;1.381925;1.387075;1.39662;1.399495;1.405895;1.408415;1.417445;1.416125;1.423805;1.43218;1.4415;1.781815753;0.487880272;0.579457922;1.182976472;1.082876667;1.102876667;1.149833337;1.027328669;0.219023175;
456;1.385615;1.390725;1.400465;1.403055;1.408345;1.41118;1.42015;1.41774;1.425805;1.43368;1.44215;1.788214167;0.485401236;0.57660785;1.184810408;1.084513333;1.104513333;1.151310063;1.025852722;0.218964159;
456.4;1.389275;1.393905;1.40344;1.40584;1.41137;1.41339;1.422255;1.419495;1.42693;1.434475;1.442695;1.794386406;0.483167044;0.57376702;1.186661937;1.085316667;1.105316667;1.151953736;1.024454466;0.218727308;
456.8;1.392525;1.397185;1.406105;1.408795;1.413135;1.415615;1.423655;1.420565;1.42754;1.43406;1.441485;1.798588253;0.480045296;0.571006512;1.187840476;1.086143333;1.106143333;1.152621021;1.023156001;0.218313341;
457.2;1.39425;1.399215;1.408175;1.40979;1.41485;1.41573;1.424335;1.420645;1.426745;1.4333;1.43968;1.801906514;0.477627471;0.568331487;1.188079833;1.085833333;1.105833333;1.152151919;1.021024911;0.218023075;
457.6;1.39653;1.401035;1.409565;1.41111;1.415435;1.416455;1.42383;1.419315;1.42562;1.43092;1.437305;1.804429488;0.474995409;0.565537405;1.187737091;1.085496667;1.105496667;1.151656428;1.018506059;0.217515278;
458;1.398225;1.402235;1.410195;1.41115;1.415455;1.415985;1.422835;1.418745;1.42346;1.428275;1.433775;1.80598012;0.472332742;0.562441734;1.186633834;1.084526667;1.104526667;1.150527881;1.015960903;0.217073662;
458.4;1.39888;1.40268;1.41095;1.411165;1.41511;1.414385;1.421025;1.415865;1.42041;1.424645;1.429735;1.806259701;0.469394626;0.559322358;1.184932952;1.082773333;1.102773333;1.148616278;1.012668119;0.216133513;
458.8;1.39932;1.402875;1.41036;1.41008;1.413695;1.412605;1.418645;1.412455;1.417005;1.41996;1.424355;1.8049813;0.466884985;0.556029766;1.182777839;1.0809;1.1009;1.146584951;1.008997724;0.215735706;
459.2;1.39879;1.40201;1.409405;1.4084;1.411725;1.409605;1.415565;1.4086;1.412125;1.41493;1.417405;1.803402201;0.463640815;0.552618488;1.179738523;1.078196667;1.098196667;1.143723899;1.005113249;0.214147114;
459.6;1.39819;1.400575;1.407095;1.405985;1.408745;1.406465;1.41141;1.40374;1.406755;1.40922;1.41099;1.800511034;0.460886332;0.549341287;1.176127386;1.07521;1.09521;1.140579788;1.000596985;0.213207753;
460;1.39634;1.39912;1.40523;1.403175;1.40522;1.40233;1.406525;1.398385;1.400245;1.40181;1.403865;1.796344227;0.45791761;0.546167537;1.172045984;1.071393333;1.091393333;1.136605951;0.996288912;0.211386623;
460.4;1.39359;1.39611;1.401695;1.399235;1.40046;1.39771;1.401325;1.392765;1.393905;1.394575;1.3952;1.791329185;0.454704046;0.542883718;1.167159859;1.067586667;1.087586667;1.132642387;0.991280805;0.209819434;
460.8;1.390765;1.392895;1.39798;1.395115;1.39606;1.392155;1.39482;1.38595;1.38673;1.386045;1.38665;1.784946682;0.451735325;0.539521383;1.161450593;1.06288;1.08288;1.127779095;0.98619523;0.208319805;
461.2;1.38736;1.389085;1.3935;1.38987;1.39049;1.386075;1.388565;1.377935;1.37854;1.377065;1.37632;1.777674013;0.448399339;0.536120693;1.155443333;1.057776667;1.077776667;1.122519409;0.98049031;0.206091883;
461.6;1.3828;1.384405;1.38866;1.38399;1.38437;1.37892;1.380655;1.369975;1.36996;1.36727;1.365845;1.7697649;0.445859093;0.532523953;1.149182027;1.05249;1.07249;1.11707666;0.974542536;0.203616898;
462;1.378435;1.37963;1.383285;1.37813;1.37765;1.371605;1.372705;1.3615;1.36062;1.357865;1.35581;1.760515107;0.442064026;0.528977867;1.1417439;1.046316667;1.066316667;1.110747514;0.96882517;0.201301628;
462.4;1.373305;1.37411;1.376965;1.37078;1.37033;1.364305;1.364435;1.35293;1.351015;1.34753;1.34449;1.750495431;0.438942278;0.525545723;1.134652606;1.04016;1.06016;1.104435306;0.962757151;0.198635384;
462.8;1.367165;1.36769;1.370255;1.363745;1.36277;1.35537;1.355205;1.343285;1.340775;1.33635;1.333365;1.739867464;0.435851135;0.52217345;1.126474491;1.033593333;1.053593333;1.097713365;0.956352426;0.195996336;
