nm,Beta80
611.2,-51.98965892
611.6,-39.19349033
612,-42.09079993
612.4,-27.63272193
612.8,-27.18165217
613.2,-34.59517306
613.6,-58.95716173
614,-33.18092777
614.4,-34.77306391
614.8,-58.636023
615.2,-39.05936824
615.6,-88.61690106
616,-37.5699988
616.4,-51.79568168
616.8,-61.86822037
617.2,-35.72498147
617.6,-17.89041353
618,5.898686196
618.4,7.489304129
618.8,-18.81421074
619.2,-9.28391885
619.6,-8.969813323
620,-29.96444682
620.4,-45.23250186
620.8,-61.54358004
621.2,-5.881196578
621.6,-3.628873316
622,-56.67051514
622.4,-48.82132048
622.8,-31.48458485
623.2,11.22332847
623.6,13.77144808
624,-33.44589466
624.4,12.17301047
624.8,-10.81682613
625.2,32.99221015
625.6,-7.486864358
626,14.85211658
626.4,-2.324423115
626.8,-41.60350193
627.2,-28.1715881
627.6,-30.34605034
628,-35.94715482
628.4,-23.22241416
628.8,9.218503233
629.2,-50.32683026
629.6,-43.75300181
630,-0.459027532
630.4,-11.86929765
630.8,-8.322273742
631.2,5.522739717
631.6,-19.30098335
632,14.18591717
632.4,-16.46814486
632.8,32.3721846
633.2,14.03182391
633.6,51.62579256
634,-14.65572806
634.4,-16.20719613
634.8,9.380089843
635.2,9.026116785
635.6,-11.27761536
636,-10.35887959
636.4,14.35351004
636.8,-4.546618775
637.2,-34.73825872
637.6,-20.18018212
638,16.76377846
638.4,-18.59698832
638.8,-13.85167822
639.2,-31.41185682
639.6,-33.09276903
640,-33.54871904
640.4,2.440996205
640.8,17.50469852
641.2,-50.31499387
641.6,-43.15236774
642,-78.93127183
642.4,-42.28155493
642.8,-39.5774999
643.2,-59.88612102
643.6,-26.41499033
644,-67.19040033
644.4,-38.63521108
644.8,-48.34015599
645.2,-52.6404752
645.6,-61.93265241
646,-62.36877751
646.4,-10.68060457
646.8,-18.90408704
647.2,-22.85893523
647.6,-25.3513018
648,-3.098762305
648.4,-33.39901688
648.8,3.629518235
649.2,17.25659909
649.6,-14.38231203
650,48.80340458
650.4,84.64339224
650.8,72.04299054
651.2,43.2433627
651.6,39.01735758
652,103.8781034
652.4,102.5544556
652.8,92.36559296
653.2,110.5491903
653.6,139.3067245
654,68.76418092
654.4,124.6061202
654.8,123.1997653
655.2,100.7087013
655.6,110.2762945
656,119.3080047
656.4,97.170403
656.8,83.78847006
657.2,85.48247314
657.6,70.24892679
658,80.63173911
658.4,13.9227702
658.8,84.96043849
659.2,51.20999988
659.6,7.33427119
