nm,Chl_a90
648.4,21991.34372
648.8,23032.99409
649.2,24169.90771
649.6,25349.33893
650,26610.34115
650.4,27929.61135
650.8,29331.98105
651.2,30801.30118
651.6,32348.31621
652,33969.57816
652.4,35651.24804
652.8,37393.9849
653.2,39233.01615
653.6,41095.82342
654,43027.31898
654.4,45014.71862
654.8,47026.47835
655.2,49089.67588
655.6,51155.14669
656,53246.52076
656.4,55364.70718
656.8,57427.75402
657.2,59505.91875
657.6,61518.55961
658,63483.45261
658.4,65371.16264
658.8,67217.92995
659.2,68916.96345
659.6,70552.33216
660,72018.39585
660.4,73378.94204
660.8,74594.24457
661.2,75673.78746
661.6,76521.21267
662,77230.71596
662.4,77737.11056
662.8,78018.20026
663.2,78165.29015
663.6,78072.62696
664,77799.8452
664.4,77333.93418
664.8,76674.86056
665.2,75824.07169
665.6,74818.30457
666,73593.55906
666.4,72258.89689
666.8,70767.30296
667.2,69120.71284
667.6,67342.029
668,65446.91765
668.4,63469.37076
668.8,61386.97203
669.2,59215.16729
669.6,57027.55262
670,54784.84909
670.4,52530.69584
670.8,50242.03148
671.2,47953.12806
671.6,45679.8088
672,43395.88266
672.4,41199.44835
672.8,38988.28459
673.2,36841.93186
673.6,34764.36729
674,32715.93417
674.4,30782.23619
674.8,28854.79331
675.2,27036.852
675.6,25306.19146
676,23619.02519
676.4,22061.55128
676.8,20534.54007
677.2,19138.68329
677.6,17781.59807
678,16512.92963
678.4,15317.50952
678.8,14199.36671
679.2,13132.34519
679.6,12171.1447
680,11229.25948
680.4,10404.42514
680.8,9612.1181
681.2,8858.01647
681.6,8196.99968
682,7536.90538
682.4,6959.19549
682.8,6415.87214
683.2,5913.2958
683.6,5451.08867
684,5008.23364
684.4,4628.04744
684.8,4273.39505
685.2,3926.25125
685.6,3630.80377
686,3351.79188
686.4,3082.3388
686.8,2870.77601
687.2,2665.7386
687.6,2456.97858
688,2266.9897
688.4,2116.08664
688.8,1953.6655
689.2,1819.26756
689.6,1699.14984
690,1590.97364
690.4,1464.2256
690.8,1354.12485
691.2,1274.40271
691.6,1194.18875
692,1118.32455
692.4,1027.22181
692.8,973.39905
693.2,914.69972
693.6,862.59309
694,788.67136
694.4,741.32134
694.8,704.89927
695.2,642.00839
695.6,618.74847
696,601.10016
696.4,561.37904
696.8,529.14579
697.2,498.74952
697.6,488.25338
698,455.24005
698.4,428.57173
698.8,399.51983
699.2,394.15833
699.6,377.77564
700,368.55043
700.4,348.41638
700.8,327.32386
701.2,319.55532
701.6,292.11334
702,278.00778
702.4,276.27673
702.8,261.74146
703.2,271.45256
703.6,238.05177
704,236.22584
704.4,225.77201
704.8,218.73194
705.2,207.00759
705.6,195.01975
706,179.27922
706.4,190.55896
706.8,181.43348
707.2,163.72684
707.6,139.41233
708,147.47685
708.4,126.69323
708.8,149.26432
709.2,136.83348
709.6,115.26811
710,132.52221
710.4,100.09615
710.8,106.54589
711.2,97.449
711.6,87.94601
712,90.94767
712.4,76.85856
712.8,80.77456
713.2,77.57199
713.6,47.62895
714,62.39529
714.4,70.63062
714.8,55.46198
715.2,67.515
715.6,45.9376
716,54.66869
716.4,48.63223
716.8,40.24087
717.2,19.84278
717.6,19.08261
718,15.18458
718.4,16.08481
718.8,2.93011
719.2,12.87339
719.6,-1.43106
720,0.00E+00
720.4,1.89666
720.8,3.15334
721.2,-7.80529
721.6,7.91372
722,-15.96707
722.4,-0.57664
722.8,-8.86589
723.2,-8.13268
723.6,-3.19394
724,-6.60702
724.4,-7.65898
724.8,-3.71882
725.2,-25.23303
725.6,-38.28474
726,-32.90747
726.4,-33.18642
726.8,-24.38305
727.2,-37.35468
727.6,-43.48241
728,-39.50829
728.4,-63.4952
728.8,-53.94251
729.2,-49.54659
729.6,-68.14563
730,-74.70224
730.4,-85.35168
730.8,-82.83176
731.2,-90.7604
731.6,-97.36507
732,-116.10828
732.4,-118.77213
732.8,-128.34016
733.2,-119.68635
733.6,-126.79493
734,-136.59529
734.4,-141.91625
734.8,-147.60587
735.2,-168.23786
735.6,-155.2992
736,-159.1484
736.4,-171.67701
736.8,-156.36804
737.2,-176.61988
737.6,-172.25095
738,-196.8256
738.4,-208.10857
738.8,-192.16273
739.2,-199.5622
739.6,-187.8269
740,-195.8653
740.4,-182.70394
740.8,-182.6132
741.2,-210.02934
741.6,-201.14805
742,-206.67757
742.4,-213.4812
742.8,-200.27664
743.2,-220.52926
743.6,-212.44308
744,-225.11349
744.4,-217.01412
744.8,-224.13853
745.2,-234.01881
745.6,-220.6044
746,-255.38127
746.4,-233.70528
746.8,-233.19331
747.2,-244.62398
747.6,-280.84007
748,-271.13429
748.4,-269.25756
748.8,-289.16677
749.2,-282.52359
749.6,-291.62897
750,-197.69335
